,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,"Reservoir - East","One person","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",3,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",2989,
,,,"Group household",0,
,,"Two persons","One family household: Couple family with no children",1934,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",621,
,,,"One family household: Other family",153,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",307,
,,"Three persons","One family household: Couple family with no children",116,
,,,"One family household: Couple family with children",906,
,,,"One family household: One parent family",343,
,,,"One family household: Other family",41,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",103,
,,"Four persons","One family household: Couple family with no children",25,
,,,"One family household: Couple family with children",998,
,,,"One family household: One parent family",142,
,,,"One family household: Other family",16,
,,,"Two family household: Couple family with no children",25,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",19,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",48,
,,"Five persons","One family household: Couple family with no children",14,
,,,"One family household: Couple family with children",370,
,,,"One family household: One parent family",39,
,,,"One family household: Other family",8,
,,,"Two family household: Couple family with no children",7,
,,,"Two family household: Couple family with children",35,
,,,"Two family household: One parent family",22,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",16,
,,"Six persons","One family household: Couple family with no children",5,
,,,"One family household: Couple family with children",111,
,,,"One family household: One parent family",17,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",25,
,,,"Two family household: One parent family",13,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",15,
,,"Seven persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",31,
,,,"One family household: One parent family",5,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",17,
,,,"Two family household: One parent family",5,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Eight or more persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",12,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",14,
,,,"Two family household: One parent family",4,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",7,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,"Reservoir - West","One person","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",2183,
,,,"Group household",0,
,,"Two persons","One family household: Couple family with no children",1968,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",547,
,,,"One family household: Other family",115,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",237,
,,"Three persons","One family household: Couple family with no children",107,
,,,"One family household: Couple family with children",932,
,,,"One family household: One parent family",284,
,,,"One family household: Other family",27,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",75,
,,"Four persons","One family household: Couple family with no children",40,
,,,"One family household: Couple family with children",1022,
,,,"One family household: One parent family",104,
,,,"One family household: Other family",8,
,,,"Two family household: Couple family with no children",20,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",16,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",27,
,,"Five persons","One family household: Couple family with no children",8,
,,,"One family household: Couple family with children",463,
,,,"One family household: One parent family",35,
,,,"One family household: Other family",3,
,,,"Two family household: Couple family with no children",7,
,,,"Two family household: Couple family with children",17,
,,,"Two family household: One parent family",15,
,,,"Two family household: Other family",7,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",19,
,,"Six persons","One family household: Couple family with no children",5,
,,,"One family household: Couple family with children",119,
,,,"One family household: One parent family",12,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",4,
,,,"Two family household: Couple family with children",21,
,,,"Two family household: One parent family",8,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",7,
,,"Seven persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",33,
,,,"One family household: One parent family",7,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",14,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Eight or more persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",10,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",5,
,,,"Two family household: Couple family with children",9,
,,,"Two family household: One parent family",5,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,

"Data Source: 2011 Census of Population and Housing"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data."


"14","HCFMD - In multiple family households, only the family composition of the primary family is recorded. Refer to Census Dictionary for more information."
"19","NPRD - Includes up to three residents who were temporarily absent from Household on Census Night."
"26","No reliance should be placed on small cells."
"27","For details on a classification and associated data quality information click on the blue i-links in the table."
"28","Cells in this table have been randomly adjusted to avoid the release of confidential data."


Table generated using ABS TableBuilder
"Copyright, Commonwealth of Australia"
