
"SA2, RLHP Relationship in Household, SEXP and AGE5P - Age in Five Year Groups"
"Counting: Persons, Place of Usual Residence"

,,,,"Counting","Persons, Place of Usual Residence",
,,,,"70-84 years",13,
,,,,"55-69 years",49,
,,,,"40-54 years",98,
,,,,"25-39 years",338,
,,,,"15-24 years",247,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",4,
,,,,"70-84 years",20,
,,,,"55-69 years",53,
,,,,"40-54 years",60,
,,,,"25-39 years",179,
,,,,"15-24 years",162,
,,,,"0-14 years",0,
,,"LonePerson {B}","Male","100 years and over",0,
,,,,"85-99 years",82,
,,,,"70-84 years",209,
,,,,"55-69 years",310,
,,,,"40-54 years",332,
,,,,"25-39 years",282,
,,,,"15-24 years",45,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",203,
,,,,"70-84 years",584,
,,,,"55-69 years",372,
,,,,"40-54 years",260,
,,,,"25-39 years",274,
,,,,"15-24 years",36,
,,,,"0-14 years",0,
,,"Relative {B}","Male","100 years and over",0,
,,,,"85-99 years",9,
,,,,"70-84 years",66,
,,,,"55-69 years",120,
,,,,"40-54 years",173,
,,,,"25-39 years",400,
,,,,"15-24 years",255,
,,,,"0-14 years",65,
,,,"Female","100 years and over",0,
,,,,"85-99 years",32,
,,,,"70-84 years",130,
,,,,"55-69 years",152,
,,,,"40-54 years",147,
,,,,"25-39 years",303,
,,,,"15-24 years",185,
,,,,"0-14 years",66,
,"Reservoir - West","Married {B}","Male","100 years and over",0,
,,,,"85-99 years",121,
,,,,"70-84 years",885,
,,,,"55-69 years",1003,
,,,,"40-54 years",1320,
,,,,"25-39 years",1454,
,,,,"15-24 years",66,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",49,
,,,,"70-84 years",635,
,,,,"55-69 years",1076,
,,,,"40-54 years",1337,
,,,,"25-39 years",1612,
,,,,"15-24 years",160,
,,,,"0-14 years",0,
,,"Lone parent {B}","Male","100 years and over",0,
,,,,"85-99 years",13,
,,,,"70-84 years",36,
,,,,"55-69 years",50,
,,,,"40-54 years",65,
,,,,"25-39 years",21,
,,,,"15-24 years",6,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",36,
,,,,"70-84 years",143,
,,,,"55-69 years",165,
,,,,"40-54 years",326,
,,,,"25-39 years",178,
,,,,"15-24 years",21,
,,,,"0-14 years",0,
,,"U15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",0,
,,,,"0-14 years",1859,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",0,
,,,,"0-14 years",1653,
,,"Student {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",478,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",514,
,,,,"0-14 years",0,
,,"O15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",52,
,,,,"40-54 years",198,
,,,,"25-39 years",475,
,,,,"15-24 years",383,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",22,
,,,,"40-54 years",116,
,,,,"25-39 years",307,
,,,,"15-24 years",273,
,,,,"0-14 years",0,
,,"GroupHhold {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",18,
,,,,"55-69 years",69,
,,,,"40-54 years",78,
,,,,"25-39 years",241,
,,,,"15-24 years",156,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",3,
,,,,"70-84 years",14,
,,,,"55-69 years",44,
,,,,"40-54 years",54,
,,,,"25-39 years",118,
,,,,"15-24 years",89,
,,,,"0-14 years",0,
,,"LonePerson {B}","Male","100 years and over",0,
,,,,"85-99 years",52,
,,,,"70-84 years",154,
,,,,"55-69 years",216,
,,,,"40-54 years",280,
,,,,"25-39 years",196,
,,,,"15-24 years",30,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",167,
,,,,"70-84 years",447,
,,,,"55-69 years",236,
,,,,"40-54 years",203,
,,,,"25-39 years",178,
,,,,"15-24 years",28,
,,,,"0-14 years",0,
,,"Relative {B}","Male","100 years and over",0,
,,,,"85-99 years",20,
,,,,"70-84 years",60,
,,,,"55-69 years",80,
,,,,"40-54 years",160,
,,,,"25-39 years",332,
,,,,"15-24 years",221,
,,,,"0-14 years",82,
,,,"Female","100 years and over",0,
,,,,"85-99 years",43,
,,,,"70-84 years",124,
,,,,"55-69 years",114,
,,,,"40-54 years",119,
,,,,"25-39 years",237,
,,,,"15-24 years",144,
,,,,"0-14 years",49,

"Data Source: 2011 Census of Population and Housing"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data."


"08","RLHP - Details to assist in the analysis of this variable are available in the Census Dictionary."
"26","No reliance should be placed on small cells."
"27","For details on a classification and associated data quality information click on the blue i-links in the table."
"28","Cells in this table have been randomly adjusted to avoid the release of confidential data."


Table generated using ABS TableBuilder
"Copyright, Commonwealth of Australia"
