Australian Bureau of Statistics

"2011 Census - Counting Dwellings, Place of Enumeration"
"SA2, NPRD Number of Persons Usually Resident in Dwelling and HCFMD Family Household Composition (Dwelling)"
"Counting: Dwellings, Location on Census Night"

Filters:
"Default Summation","Dwellings, Location on Census Night"


"SA2","NPRD Number of Persons Usually Resident in Dwelling","HCFMD Family Household Composition (Dwelling)",
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",17,
,"Six persons","One family household: Couple family with no children",3,
,,"One family household: Couple family with children",110,
,,"One family household: One parent family",18,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",25,
,,"Two family household: One parent family",11,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",14,
,"Seven persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",31,
,,"One family household: One parent family",4,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",16,
,,"Two family household: One parent family",3,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Eight or more persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",11,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",13,
,,"Two family household: One parent family",3,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",3,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
"Reservoir - West","One person","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",2183,
,,"Group household",0,
,"Two persons","One family household: Couple family with no children",1969,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",549,
,,"One family household: Other family",117,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",239,
,"Three persons","One family household: Couple family with no children",104,
,,"One family household: Couple family with children",930,
,,"One family household: One parent family",284,
,,"One family household: Other family",26,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",74,
,"Four persons","One family household: Couple family with no children",40,
,,"One family household: Couple family with children",1023,
,,"One family household: One parent family",105,
,,"One family household: Other family",8,
,,"Two family household: Couple family with no children",21,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",17,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",28,
,"Five persons","One family household: Couple family with no children",6,
,,"One family household: Couple family with children",463,
,,"One family household: One parent family",38,
,,"One family household: Other family",4,
,,"Two family household: Couple family with no children",10,
,,"Two family household: Couple family with children",19,
,,"Two family household: One parent family",17,
,,"Two family household: Other family",3,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",20,
,"Six persons","One family household: Couple family with no children",3,
,,"One family household: Couple family with children",119,
,,"One family household: One parent family",12,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",4,
,,"Two family household: Couple family with children",20,
,,"Two family household: One parent family",7,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",7,
,"Seven persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",31,
,,"One family household: One parent family",6,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",13,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Eight or more persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",11,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",3,
,,"Two family household: Couple family with children",10,
,,"Two family household: One parent family",4,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,

"Data Source: 2011 Census of Population and Housing"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


(c) Commonwealth of Australia 2017
